Using cache found in /home/zhoushunyu/.cache/torch/hub/facebookresearch_dinov3_94a96ac83c2446f15f9bdcfae23cad3c6a9d4988
Loading pretrained decoder from /home/zhoushunyu/data/eqvae/models/RAEv2/stage1/imagenet/dinov3l-k7/decoder.pt
Loaded normalization stats from /home/zhoushunyu/data/eqvae/models/RAEv2/stage1/imagenet/dinov3l-k7/stats.pt
RAE: encoder=dinov3mls-vit-l16[layers=11.13.15.17.19.21.23], resolution=256, patch_size=16, hidden_size=1024
{"mode": "causal_reference", "shard": 1, "samples": 80, "seconds": 74.41}
{"mode": "causal_reference", "shard": 1, "samples": 160, "seconds": 149.1}
{"mode": "causal_reference", "shard": 1, "samples": 240, "seconds": 223.97}
{"mode": "causal_reference", "shard": 1, "samples": 320, "seconds": 298.88}
{"mode": "causal_reference", "shard": 1, "samples": 400, "seconds": 373.81}
{"mode": "causal_reference", "shard": 1, "samples": 480, "seconds": 448.77}
{"mode": "causal_reference", "shard": 1, "samples": 560, "seconds": 523.73}
{"mode": "causal_reference", "shard": 1, "samples": 640, "seconds": 598.69}
{"mode": "causal_reference", "shard": 1, "samples": 720, "seconds": 673.66}
{"mode": "causal_reference", "shard": 1, "samples": 800, "seconds": 748.67}
{"mode": "causal_reference", "shard": 1, "samples": 880, "seconds": 823.67}
{"mode": "causal_reference", "shard": 1, "samples": 960, "seconds": 898.68}
{"mode": "causal_reference", "shard": 1, "samples": 1040, "seconds": 973.7}
{"mode": "causal_reference", "shard": 1, "samples": 1120, "seconds": 1048.72}
{"mode": "causal_reference", "shard": 1, "samples": 1200, "seconds": 1123.74}
{"mode": "causal_reference", "shard": 1, "samples": 1248, "seconds": 1168.77}
