case_id,action
a_9ad471876dc990d2d654,downgrade_to_mild
a_336f97fcc1178bf2dbcd,downgrade_to_mild
a_cce9b548639bc67a200d,downgrade_to_mild
a_515a4b503c1fd57fd5ee,downgrade_to_mild
a_ef44037d7ee862b96b89,downgrade_to_mild
a_627316462cd5d7537fff,downgrade_to_mild
a_4858b4716a422c5eb990,downgrade_to_mild
a_720cc0c5f7c3e89c2a5a,downgrade_to_mild
a_3f63cf46c6130a63d31b,downgrade_to_mild
a_e468ca547b1f131f7431,retain_clear_bad
a_4874ca86b95c84b66485,downgrade_to_mild
a_599eddbdd5f736978b89,downgrade_to_mild
a_3e1309c9e3c749510d84,retain_clear_bad
a_90977ccfce178905e8c9,downgrade_to_mild
a_5e6c3da3330b864cc75b,downgrade_to_mild
a_ed27d667ce92e5820e7f,downgrade_to_mild
a_a2416447e741903e7dfe,downgrade_to_mild
a_f25b0da489235c5aa7cd,retain_clear_bad
a_666f48e492a03a24e107,downgrade_to_mild
a_d584026c314976576004,downgrade_to_mild
a_5312507c0cf7c057bf40,retain_clear_bad
a_b9cd71c896ba08733d0a,downgrade_to_mild
a_d9f66b1812eebd828d92,downgrade_to_mild
a_e471e50a51ed243ba5bd,retain_clear_bad
a_baba4b1e0d90f094f07f,downgrade_to_mild
a_97b9afd957ef1a159782,downgrade_to_mild
a_5912cf551725a801481f,downgrade_to_mild
a_fc5049c19a28864f43b7,retain_clear_bad
a_f6f00ed9c164e9e19318,downgrade_to_mild
