anchor_id,image_sha256,proposed_severity,proposed_component_group,proposed_reason,decision,correction_severity,correction_component_group,correction_reason,expert_role_token,independence_attestation
qa_00,0ec7cc2f3c8699dc45500e6af2d333d5449db57a11e2844497fd9b48d0dd81ee,clean_good,none,"Sharp coherent dog portrait: attached anatomy, resolved eyes/muzzle and natural fur texture.",,,,,,
qa_01,04d9ca9d92ad23b89ce98a0e111b4801d51c7e976e342a8edb4aa4e24fdb6f7c,clean_good,none,Difficult gymnast pose remains anatomically connected to the apparatus with resolved edges and no fusion.,,,,,,
qa_02,8b32b785dde7b1453ebb1efe91cc82c685a689078a597b7cad5a6b93c9e6b3e2,clean_good,none,Two skiers and their skis/poles remain separately readable; small scale alone is not a defect.,,,,,,
qa_03,3a07daf1603607c8eca3a2c1e9f6c5d12db6829f516d76245e8bf6088575a8b8,clean_good,none,Full dog body is coherent and adequately sharp for this model's class band.,,,,,,
qa_04,efea063b1a8a5c14ad24af1c959977d28b6696c265467b7bed002457e21842c6,clean_good,none,Small skiers and equipment are coherent; ordinary distance-related detail loss is acceptable.,,,,,,
qa_05,d203083574e4f0848cc9bf4b291943ff5e54f54b913034496dce0aa3234cb739,mild_or_disputed,mild_softness,"Sleeping pose and shallow-focus softness are visible, but face/body boundaries remain coherent and the softness is not clearly below the class band.",,,,,,
qa_06,88eb1070fdc32ee6e6c71fd7ada2ca36966b9a24a420e4584a5bbf757174d9f1,mild_or_disputed,mild_softness,"Portrait has modest low-resolution softness while eyes, muzzle and fur boundary remain readable.",,,,,,
qa_07,f9ea18ffa3317b59675242af42c9f74c6b9e6a6f28f7da5154186edea770225d,mild_or_disputed,mild_rendering,Oversaturated painterly rendering is imperfect but does not erase anatomy or fuse subject parts.,,,,,,
qa_08,fa7f9b8f5eb2b9c810bea667fb019402df4ea65a81818d48398633e434f5fd4c,mild_or_disputed,mild_structure,"Body proportions are slightly unusual yet still plausible, attached and not clearly malformed.",,,,,,
qa_09,ad3106363071e21c36757a918521ca4aaeecd8694aa58a7b56710f1df74e95c1,mild_or_disputed,mild_softness,"Old-photo softness is present, but the dog silhouette, limbs and face remain sufficiently coherent for a boundary/mild call.",,,,,,
qa_10,b32cfb3472ef8031218c26b9c97f9bc7ff9bc8741947186d1c88af330e5da671,clear_bad,blur_or_soft_fusion,Strong global smoothing produces a plastic face and erases normal fur/facial detail: recognizable subject does not make this quality-normal.,,,,,,
qa_11,7c15c2f975dd06e7129c161e8832ac7a455268b1ee37220b765627398c171db6,clear_bad,blur_or_soft_fusion,Eyes and head contour are visibly blurred/melted below the ordinary class band.,,,,,,
qa_12,85ab3d9373141917210e989402a03e26f26a089705b2f4ed7835d295457524f0,clear_bad,blur_or_soft_fusion,Global blur removes facial and fur structure despite the dog remaining recognizable.,,,,,,
qa_13,d9f23bc0898f380e6110d7c9405641030ea029922defd86259f2f471ca00e4a5,clear_bad,blur_or_soft_fusion,Severe global blur and body/background fusion materially degrade the whole subject.,,,,,,
qa_14,bea88b04ed265467ae9e25ff880d22d8ab32afa1c919d5eb75e67fb46e429268,clear_bad,blur_or_soft_fusion,"Gymnast and apparatus are grossly stretched and fused; this is a clear fusion failure, not a hard-but-valid pose.",,,,,,
qa_15,3bbb15846e987c055a7dd0014d6d500a3eb7b197a5f794cd7e0ba3c1a5d73a72,clear_bad,topology_or_attachment,"Hind limbs merge and attach incorrectly, producing an unmistakable topology/misalignment defect.",,,,,,
qa_16,3cb3c8ed6f6ffd202c2b53013ecac9fac1220fd86c669bd6194ef77713a9fbfc,clear_bad,topology_or_attachment,Gymnast limbs are duplicated/incoherent around the bars.,,,,,,
qa_17,178f30bf53e22785e5d1a9d0f1c9b404b2d11f5d867f51f1adb5356de5582f26,clear_bad,topology_or_attachment,A ski-like object floats detached high above the people and slope.,,,,,,
qa_18,203748d71a604d1f6f11c64d5ce5c546c052df8376c8481a2836074b3ab61b84,clear_bad,topology_or_attachment,Dog anatomy is grossly fused/duplicated with incompatible body parts.,,,,,,
qa_19,7517b2e9ad753ea0481eb4713b420017be1f7e877cbdc6f89e4b1986db2149a5,clear_bad,topology_or_attachment,Gymnast arms are missing/fused into symmetric blobs rather than valid articulated limbs.,,,,,,
